policy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,energy_gap_with_switching_vs_oracle,seed
agg_gcn_stable,0.4037698412698412,211.3654949329324,29.166666666666668,240.53216159959905,0.7917581330710025,0.7630225008870944,0.1025249765878129,0.25224118023785164,1.0,1.4166666666666667,0.8333333333333334,0.4166666666666667,0.4166666666666667,0.5736646359985701,-0.05620217552782965,11
attn_ml_gcn_stable,0.4037698412698412,211.3654949329324,29.166666666666668,240.53216159959905,0.7917581330710025,0.7630225008870944,0.1025249765878129,0.25224118023785164,1.0,1.4166666666666667,0.8333333333333334,0.4166666666666667,0.4166666666666667,0.5736646359985701,-0.05620217552782965,11
flat_mlp_stable,0.4037698412698412,211.3654949329324,29.166666666666668,240.53216159959905,0.7917581330710025,0.7630225008870944,0.1025249765878129,0.25224118023785164,1.0,1.4166666666666667,0.8333333333333334,0.4166666666666667,0.4166666666666667,0.5736646359985701,-0.05620217552782965,11
ml_gcn_stable,0.4037698412698412,211.3654949329324,29.166666666666668,240.53216159959905,0.7917581330710025,0.7630225008870944,0.1025249765878129,0.25224118023785164,1.0,1.4166666666666667,0.8333333333333334,0.4166666666666667,0.4166666666666667,0.5736646359985701,-0.05620217552782965,11
agg_gcn_pruned,0.47321428571428575,213.11410965515984,61.25,274.36410965515984,0.7900353599456552,0.7296905323594484,0.11443575121254122,0.441802325717112,1.0,1.4583333333333333,1.75,0.875,0.875,0.5371604046702788,0.07654730279618242,11
agg_gcn,0.4156746031746032,217.39374330945682,70.0,287.39374330945685,0.7858189721089096,0.7168534548675303,0.13743257082113225,0.5125494601683835,1.0,1.5,2.0,1.0,1.0,0.5295375844200031,0.12767285629727979,11
greedy_sleep,0.1984126984126984,225.8298056601196,90.41666666666667,316.2464723267862,0.777507580630424,0.6884271208603091,0.1902129468419308,0.669773493898028,1.0,1.625,2.5833333333333335,1.2916666666666667,1.2916666666666667,0.4824304531577592,0.2408849219750943,11
load_sleep,0.1984126984126984,225.8298056601196,90.41666666666667,316.2464723267862,0.777507580630424,0.6884271208603091,0.1902129468419308,0.669773493898028,1.0,1.625,2.5833333333333335,1.2916666666666667,1.2916666666666667,0.4824304531577592,0.2408849219750943,11
rsrp_sleep,0.2222222222222222,241.54839163860652,93.33333333333333,334.88172497193983,0.7620212890260034,0.6700672660374977,0.27571732929875625,0.7795642000795661,1.0,1.8333333333333333,2.6666666666666665,1.4166666666666667,1.25,0.4493582223488201,0.31400575034175116,11
sinr_sleep,0.2222222222222222,241.54839163860652,93.33333333333333,334.88172497193983,0.7620212890260034,0.6700672660374977,0.27571732929875625,0.7795642000795661,1.0,1.8333333333333333,2.6666666666666665,1.4166666666666667,1.25,0.4493582223488201,0.31400575034175116,11
rsrp,0.17956349206349206,679.7329561625676,1.4583333333333333,681.191289495901,0.3303123584605245,0.3288755768513291,2.6179740141209282,2.6256754436184773,1.0,6.958333333333333,0.041666666666666664,0.0,0.041666666666666664,0.18713254946945387,1.6728519496109473,11
sinr,0.17956349206349206,679.7329561625676,1.4583333333333333,681.191289495901,0.3303123584605245,0.3288755768513291,2.6179740141209282,2.6256754436184773,1.0,6.958333333333333,0.041666666666666664,0.0,0.041666666666666664,0.18713254946945387,1.6728519496109473,11
load_aware,0.17460317460317462,689.4986253893709,0.0,689.4986253893709,0.3206910094686,0.3206910094686,2.670147267423493,2.670147267423493,1.0,7.0,0.0,0.0,0.0,0.1891057563041674,1.7054481957481604,11
oracle,1.0,199.3873595043889,61.25,260.63735950438894,0.8035592517198139,0.7432144241336069,0.0,0.29936661107173845,1.0,1.2916666666666667,1.75,0.875,0.875,0.5972654671440959,0.0,13
agg_gcn_search,0.9523809523809524,199.54395595454335,64.16666666666667,263.71062262121,0.803404969502913,0.7401865786983152,0.0006544264379671824,0.3118764494371726,1.0,1.2916666666666667,1.8333333333333333,0.9166666666666666,0.9166666666666666,0.598854523432567,0.011791337675707676,13
attn_ml_gcn_search,0.9454365079365079,199.7378540286414,61.25,260.9878540286414,0.8032139369175947,0.7428691093313878,0.0014110300829111128,0.3007776411546496,1.0,1.2916666666666667,1.75,0.875,0.875,0.6009057366171973,0.0013447593427086493,13
ml_gcn_search,0.9454365079365079,199.7378540286414,61.25,260.9878540286414,0.8032139369175947,0.7428691093313878,0.0014110300829111128,0.3007776411546496,1.0,1.2916666666666667,1.75,0.875,0.875,0.6009057366171973,0.0013447593427086493,13
