policy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,energy_gap_with_switching_vs_oracle,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load
agg_gcn,0.44375,225.6684829582996,57.3125,282.9809829582996,0.7776665192529068,0.7212010020115274,0.13788044218551793,0.4262885776431709,0.06217979309839779,1.0,1.55,1.6375,0.8166666666666667,0.8208333333333334,0.5564992901017177
agg_gcn_pruned,0.5218253968253969,215.89276532536707,56.729166666666664,272.62193199203375,0.7872977681523478,0.7314069635546465,0.08747147067937275,0.3740942612099568,0.023375522902780367,1.0,1.4541666666666666,1.6208333333333331,0.8125,0.8083333333333333,0.5745811393035375
agg_gcn_search,0.9082341269841271,199.09275321013484,70.4375,269.53025321013484,0.8038495042264682,0.7344529525023302,0.00045618217372423694,0.3536492273372677,0.0100676831466538,1.0,1.2791666666666666,2.0125,1.0041666666666667,1.0083333333333333,0.6122400856486562
agg_gcn_stable,0.47896825396825393,217.5443605029214,38.79166666666667,256.336027169588,0.7856705807852992,0.7474521899807014,0.09529901038422936,0.29257189929209776,-0.0377272181316546,1.0,1.4541666666666668,1.1083333333333334,0.5541666666666667,0.5541666666666667,0.5933576349121992
agg_gcn_stable_search,0.5376984126984127,214.4603881980548,28.729166666666668,243.18955486472146,0.7887089771447736,0.7604043794436242,0.08101793529381687,0.2318967246103507,-0.08760352659205688,1.0,1.4208333333333332,0.8208333333333334,0.4083333333333333,0.4125,0.6033729808527446
attn_ml_gcn,0.471031746031746,224.77933595188497,57.3125,282.09183595188495,0.7785425261557783,0.7220770089143991,0.1339157703592971,0.42156908600092563,0.05856326560827183,1.0,1.5333333333333334,1.6375,0.8125,0.825,0.5665388608057844
attn_ml_gcn_pruned,0.5226190476190476,216.3403435058418,53.8125,270.1528435058418,0.7868568044277422,0.7338395630484318,0.09020914034421582,0.36312380110861675,0.013954308375616073,1.0,1.4583333333333335,1.5375,0.7708333333333333,0.7666666666666667,0.573046585497168
attn_ml_gcn_search,0.9066468253968253,199.15081267957333,71.02083333333334,270.1716460129067,0.8037923027787455,0.7338210384109294,0.0006796806682608987,0.35784720212404386,0.012434420441682562,1.0,1.2791666666666666,2.029166666666667,1.0125,1.0166666666666666,0.6128954029405294
attn_ml_gcn_stable,0.47986111111111107,217.57530677798604,39.08333333333333,256.65864011131936,0.7856400918443487,0.747134344717912,0.09572199825226964,0.29457422442118286,-0.03637290866702118,1.0,1.4541666666666666,1.1166666666666667,0.5583333333333333,0.5583333333333333,0.5940995502040278
attn_ml_gcn_stable_search,0.5336309523809524,212.6970609382388,29.895833333333332,242.5928942715721,0.7904462453810455,0.7609922223925398,0.07168319315150935,0.2289910649818485,-0.0898474589926899,1.0,1.4,0.8541666666666666,0.425,0.4291666666666667,0.612214736034271
