policy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,energy_gap_with_switching_vs_oracle,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load
ml_gcn,0.07422310275467663,7.448076914761869,12.093326806166312,15.396729605054624,0.007338006812573242,0.015169191729117834,0.035222423268654914,0.07297958238246922,0.06148015270210454,0.0,0.07807482956975102,0.34552362303332324,0.16203042314544316,0.18446619684315546,0.038368815612057204
ml_gcn_pruned,0.0745115342069856,7.42604559603631,8.948934561384982,12.477816026327076,0.007316301079838708,0.012293414804263117,0.03220111961406451,0.058585225480898014,0.050101398756944054,0.0,0.08784104611578836,0.25568384461099947,0.11987969792800045,0.1377732974181916,0.044913430781686026
ml_gcn_search,0.04323849293572783,5.227405421415026,8.869363320434928,13.46528975872728,0.005150153124546816,0.01326629532879531,0.0008249586721345135,0.04057339019025866,0.014320940041066144,0.0,0.07869008596786278,0.2534103805838552,0.12179534037996531,0.13321754231424218,0.055710569044823084
ml_gcn_stable,0.07817812819383155,7.550932210776394,6.874649261535879,9.935014514600534,0.007439342079582622,0.009788191640000492,0.03629385957115567,0.05382581227807812,0.05409107204227583,0.0,0.0909695716322934,0.19641855032959654,0.10622957319984971,0.09265044488976622,0.04655953140320785
ml_gcn_stable_search,0.09535565798428634,7.761673328532726,6.196725103324565,8.568619811799287,0.007646968796583962,0.008441989962363833,0.02466260935175683,0.031561098102858356,0.032818131312284296,0.0,0.09460770203292442,0.17704928866641612,0.09781564923143894,0.08110445178142463,0.04876060972476852
oracle,0.0,5.071356452900064,7.875900154315111,12.240361754993895,0.0049964102984237,0.012059469709353593,0.0,0.0373414074654919,1.252355111846238e-16,0.0,0.07869008596786278,0.2250257186947174,0.11076334465209381,0.11628575382741377,0.056945335240410025
rsrp,0.016829704055019712,3.5422791634651905,1.239345020664913,3.434800641886555,0.003489930210310528,0.0033840400412675315,0.07039954657388496,0.06937985712072794,0.1158993164152679,0.0,0.020126912147485347,0.03540985773328323,0.01756820922315766,0.02012691214748533,0.01026005591728147
rsrp_sleep,0.05977140231615325,9.383206561323071,9.776756772766067,18.7220825409732,0.009244538484062117,0.018445401518200184,0.0509689366155811,0.09859301954369606,0.07866489359546137,0.0,0.12546210878484682,0.279335907793316,0.15119125734081418,0.1332175423142422,0.05902300267395093
sinr,0.016829704055019712,3.5422791634651905,1.239345020664913,3.434800641886555,0.003489930210310528,0.0033840400412675315,0.07039954657388496,0.06937985712072794,0.1158993164152679,0.0,0.020126912147485347,0.03540985773328323,0.01756820922315766,0.02012691214748533,0.01026005591728147
sinr_sleep,0.05977140231615325,9.383206561323071,9.776756772766067,18.7220825409732,0.009244538484062117,0.018445401518200184,0.0509689366155811,0.09859301954369606,0.07866489359546137,0.0,0.12546210878484682,0.279335907793316,0.15119125734081418,0.1332175423142422,0.05902300267395093
