policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,395.7786006600803,0.6100703441772607,0.0,1.0,2.7,0.8193546052534375
greedy_sleep,0.513,423.2252242680123,0.5830293356965395,0.07449016551133893,1.0,2.9,0.8416054786356902
load_sleep,0.513,423.2252242680123,0.5830293356965395,0.07449016551133893,1.0,2.9,0.8416054786356902
ml_gcn_pruned,0.507,431.6720624618749,0.5747073276237685,0.10547972812793305,1.0,2.95,0.857729851847043
attn_ml_gcn_pruned,0.512,436.2774284325187,0.57017002124875,0.11384738099316224,1.0,3.0,0.8579492776070607
flat_mlp_pruned,0.501,438.99486690295527,0.5674927419675317,0.1059877138858748,1.0,3.0,0.865302172250994
agg_gcn_pruned,0.496,439.6522750639002,0.5668450491981278,0.09801800612669835,1.0,3.0,0.8719192228420353
rsrp_sleep,0.47400000000000003,462.82363999302487,0.5440161182334731,0.15353031721482344,1.0,3.3,0.7974040130583584
sinr_sleep,0.47400000000000003,462.82363999302487,0.5440161182334731,0.15353031721482344,1.0,3.3,0.7974040130583584
attn_ml_gcn,0.461,492.93838447664956,0.514346419234828,0.25868656560681547,1.0,3.5,0.8185156222851833
ml_gcn,0.461,492.93838447664956,0.514346419234828,0.25868656560681547,1.0,3.5,0.8185156222851833
agg_gcn,0.425,493.2725261501158,0.5140172156156494,0.2651502314085264,1.0,3.5,0.822004862119704
flat_mlp,0.417,507.2693945506191,0.5002271974870748,0.29664681451339364,1.0,3.6,0.8269052571946617
rsrp,0.393,830.0277219980892,0.18223869753882835,1.2139323977551402,1.0,7.0,0.629843757770535
sinr,0.393,830.0277219980892,0.18223869753882835,1.2139323977551402,1.0,7.0,0.629843757770535
load_aware,0.4,835.7600078882382,0.1765911252332629,1.2286177522742308,1.0,7.0,0.6314057278857464
