policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,365.8359767139204,0.6395704662917041,0.0,1.0,2.5,0.7983706935824767
ml_gcn,0.5433333333333333,471.96659504068316,0.5350082807480955,0.31626107437578016,1.0,3.4166666666666665,0.7822424534965126
rsrp,0.42333333333333334,824.638830288925,0.18754795045426106,1.3141845493287903,0.9783333333333334,7.0,0.6857015589250738
sinr,0.42333333333333334,824.638830288925,0.18754795045426106,1.3141845493287903,0.9783333333333334,7.0,0.6857015589250738
load_aware,0.41500000000000004,827.7113433302933,0.18452084400956334,1.3214863297971469,0.9783333333333334,7.0,0.6936205989987553
