policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,516.1539154799245,0.4914739748966261,0.0,1.0,3.5833333333333335,0.8826702060785608
ml_gcn,0.525,629.9376999534674,0.379371724183776,0.2341218831995471,1.0,4.5,0.8780963128061421
rsrp,0.5190476190476191,882.955373022655,0.1300932285491084,0.7468556880275643,1.0,7.0,0.7384801052013491
sinr,0.5190476190476191,882.955373022655,0.1300932285491084,0.7468556880275643,1.0,7.0,0.7384801052013491
load_aware,0.5119047619047619,889.6665037799921,0.1234812770640472,0.759623793755399,1.0,7.0,0.7467547959269286
