policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,265.6668584587279,0.7382592527500217,0.0,1.0,1.8,0.6684488946674105
attn_ml_gcn,0.2755555555555556,298.837971777105,0.7055783529289605,0.15032792466714065,1.0,2.066666666666667,0.6718132661380876
ml_gcn,0.26222222222222225,299.02129907876804,0.7053977348977655,0.15114534524055265,1.0,2.066666666666667,0.6755191249181068
agg_gcn,0.2555555555555556,307.9200030926116,0.6966305388250132,0.1975477409107667,1.0,2.1333333333333333,0.6832335627935588
flat_mlp,0.28,318.1796974780746,0.6865224655388428,0.23215192352439976,1.0,2.2,0.7114130355024942
rsrp,0.28444444444444444,745.6197727637295,0.2653992386564242,1.8965357509763896,1.0,6.933333333333334,0.46744627892150886
sinr,0.28444444444444444,745.6197727637295,0.2653992386564242,1.8965357509763896,1.0,6.933333333333334,0.46744627892150886
load_aware,0.28,761.0864688030044,0.2501611144797986,1.954494291919197,1.0,7.0,0.460816599741758
