policy,graph_id,hour,raw_assignment_accuracy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,mean_active_load
sinr,19,19,0.34,0.34,790.943148756658,0.0,790.943148756658,0.220745666249598,0.220745666249598,1.4245178652416117,1.4245178652416117,1.0,7.0,0,0,0,0.519146337769007,0.41803415261469606
load_aware,0,0,0.28,0.28,773.804533678694,0.0,773.804533678694,0.23763100130177928,0.23763100130177928,1.4777071941509685,1.4777071941509685,1.0,7.0,0,0,0,0.5078331021009339,0.3735182692953091
load_aware,1,1,0.4,0.4,889.2221552066212,0.0,889.2221552066212,0.1239190589097328,0.1239190589097328,1.0872398207886564,1.0872398207886564,1.0,7.0,0,0,0,0.7659181080967793,0.6733042992379771
load_aware,2,2,0.42,0.42,882.698881259573,0.0,882.698881259573,0.13034592979352413,0.13034592979352413,1.0709790057135564,1.0709790057135564,1.0,7.0,0,0,0,0.8722973444768563,0.6563607305443455
load_aware,3,3,0.48,0.48,891.3423479307337,0.0,891.3423479307337,0.12183019908302099,0.12183019908302099,1.0120911029055886,1.0120911029055886,1.0,7.0,0,0,0,0.760096589047075,0.6788112933265813
load_aware,4,4,0.4,0.4,845.1891913635502,0.0,845.1891913635502,0.16730128929699487,0.16730128929699487,0.9035773804590855,0.9035773804590855,1.0,7.0,0,0,0,0.6115946157924483,0.5589329645806499
load_aware,5,5,0.38,0.38,964.7181300481669,0.0,964.7181300481669,0.049538788129884805,0.049538788129884805,1.9649974733269817,1.9649974733269817,1.0,7.0,0,0,0,0.9593325068613255,0.869397740384849
load_aware,6,6,0.3,0.3,819.2642888446402,0.0,819.2642888446402,0.1928430651776944,0.1928430651776944,1.5679025855711137,1.5679025855711137,1.0,7.0,0,0,0,0.5433806729026963,0.49159555544062394
load_aware,7,7,0.28,0.28,815.0627837052228,0.0,815.0627837052228,0.19698247910815483,0.19698247910815483,1.5903786406009117,1.5903786406009117,1.0,7.0,0,0,0,0.5126161644590107,0.48068255507850094
load_aware,8,8,0.4,0.4,875.8644846196033,0.0,875.8644846196033,0.13707932549792776,0.13707932549792776,1.0224452493058904,1.0224452493058904,1.0,7.0,0,0,0,0.7489097626967901,0.6386090509600084
load_aware,9,9,0.36,0.36,857.0337802659135,0.0,857.0337802659135,0.1556317435803808,0.1556317435803808,1.6532018489574842,1.6532018489574842,1.0,7.0,0,0,0,0.7829495634922501,0.5896981305608148
