policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
agg_gcn,0.5036666666666667,466.16460727373465,0.5407245248534635,0.2586414119557641,1.0,3.3000000000000003,0.8186300730087558
agg_gcn_pruned,0.538,408.776761776452,0.59726427411187,0.0967363766297179,1.0,2.766666666666667,0.8590697986924628
attn_ml_gcn,0.5003333333333333,459.46649414772673,0.5473236510859835,0.2419954120540789,1.0,3.233333333333333,0.8214929328762072
attn_ml_gcn_pruned,0.5726666666666667,406.31088460544123,0.5996937097483338,0.08806981023156764,1.0,2.75,0.8635216910324819
flat_mlp,0.5066666666666667,465.9667963012251,0.5409194125111082,0.25927091096268223,1.0,3.266666666666667,0.8321253813943653
flat_mlp_pruned,0.5416666666666666,406.85947801720044,0.599153223628374,0.0914050640105919,1.0,2.75,0.8626183225646779
greedy_sleep,0.5670000000000001,403.54311674823776,0.602420574632278,0.08486996435285966,1.0,2.75,0.8376725289853622
load_aware,0.38933333333333336,841.2758203737911,0.1711568272179398,1.321280233431577,0.995,7.0,0.6502618345290859
load_sleep,0.5670000000000001,403.54311674823776,0.602420574632278,0.08486996435285966,1.0,2.75,0.8376725289853622
ml_gcn,0.5033333333333333,454.5269939711948,0.5521901537229607,0.23176794411162596,1.0,3.1833333333333336,0.8265509779905716
ml_gcn_pruned,0.5876666666666667,408.1717706157605,0.5978603245164921,0.09420554739957449,1.0,2.766666666666667,0.8603054578242443
oracle,1.0,373.52001492939263,0.6319999852912388,0.0,1.0,2.5166666666666666,0.8305852002876319
rsrp,0.39366666666666666,832.2498866661107,0.18004937274274813,1.2977108160782151,0.995,7.0,0.6521094347545805
rsrp_sleep,0.62,421.05872515679613,0.5851638175795112,0.12002462457960301,0.995,2.9499999999999997,0.8068914613728895
sinr,0.39366666666666666,832.2498866661107,0.18004937274274813,1.2977108160782151,0.995,7.0,0.6521094347545805
sinr_sleep,0.62,421.05872515679613,0.5851638175795112,0.12002462457960301,0.995,2.9499999999999997,0.8068914613728895
