policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
agg_gcn_pruned,0.70625,716.1152250259652,0.29446775859510826,0.137631231976357,0.8947916666666667,4.983333333333333,0.9703032072756911
oracle,1.0,647.39736898258,0.3621700798201182,0.0,0.894375,4.466666666666667,0.9858049997236574
attn_ml_gcn_pruned,0.7172916666666667,726.0432189089996,0.28468648383349787,0.14971714984132484,0.8864583333333333,5.066666666666666,0.9662649407872048
ml_gcn_pruned,0.72375,727.6249795206905,0.2831280989943936,0.15184577384217413,0.8864583333333333,5.083333333333333,0.9648312791676504
flat_mlp,0.6854166666666667,767.2007538361783,0.24413718833874068,0.2272431155389172,0.885625,5.4,0.9534147958022512
rsrp_sleep,0.6747916666666666,792.8784616077681,0.2188389540810166,0.25748266471301584,0.885625,5.666666666666667,0.9381292460487536
sinr_sleep,0.6747916666666666,792.8784616077681,0.2188389540810166,0.25748266471301584,0.885625,5.666666666666667,0.9381292460487536
rsrp,0.6277083333333333,932.3527440267914,0.08142586795390018,0.5220414483378486,0.885625,7.0,0.8686845611706129
sinr,0.6277083333333333,932.3527440267914,0.08142586795390018,0.5220414483378486,0.885625,7.0,0.8686845611706129
agg_gcn,0.6591666666666666,758.1105948902538,0.2530930099603411,0.21205008336713613,0.8845833333333334,5.316666666666666,0.9612837326868192
ml_gcn,0.6720833333333334,768.236239977848,0.24311700494793304,0.226653112495665,0.884375,5.416666666666667,0.9539841932118865
attn_ml_gcn,0.6679166666666667,769.5012898071182,0.24187065043633682,0.22867741696085936,0.884375,5.433333333333334,0.9509149557010422
flat_mlp_pruned,0.7202083333333333,727.7463636323374,0.2830085087366134,0.15638185064612067,0.8820833333333333,5.066666666666666,0.9630025643240417
greedy_sleep,0.8258333333333333,701.2761675783648,0.3090875196272267,0.10990183825789474,0.8737499999999999,4.85,0.9604512507376589
load_sleep,0.8258333333333333,701.2761675783648,0.3090875196272267,0.10990183825789474,0.8737499999999999,4.85,0.9604512507376589
load_aware,0.6314583333333333,943.1820237890071,0.07075662680886013,0.5388266199614505,0.8439583333333334,7.0,0.882676787822247
