policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
rsrp,0.6148148148148148,934.5941587914521,0.07921757754536739,0.6534095458386836,0.8948148148148148,7.0,0.8670339351225249
sinr,0.6148148148148148,934.5941587914521,0.07921757754536739,0.6534095458386836,0.8948148148148148,7.0,0.8670339351225249
attn_ml_gcn,0.6814814814814815,805.5154708463135,0.20638869867358273,0.42510890973773485,0.8755555555555555,5.666666666666667,0.9769754807398053
ml_gcn,0.6814814814814815,805.5154708463135,0.20638869867358273,0.42510890973773485,0.8755555555555555,5.666666666666667,0.9769754807398053
load_aware,0.6022222222222222,945.040146958653,0.06892596358753383,0.6728247915410714,0.8755555555555555,7.0,0.8826556645262156
flat_mlp,0.6785185185185185,827.2666345974171,0.18495898069219996,0.4491646979530684,0.8748148148148148,5.8,0.9804262552506493
oracle,1.0,616.8904796657911,0.3922261284080876,0.0,0.8666666666666667,4.2,1.1415471191534443
agg_gcn,0.6785185185185185,818.2243938579365,0.19386759225819053,0.4459138102082342,0.8666666666666667,5.733333333333333,0.9963445395002246
