policy,graph_id,hour,raw_assignment_accuracy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,mean_active_load
rsrp,0,0,0.16666666666666666,0.14285714285714285,698.7228447280336,0.0,698.7228447280336,0.31160310864233143,0.31160310864233143,2.737021283931881,2.737021283931881,1.0,7.0,0,0,0,0.2737053325312756,0.17850089539749012
rsrp,1,1,0.07142857142857142,0.07142857142857142,668.3536293750487,0.0,668.3536293750487,0.34152351785709484,0.34152351785709484,2.4873274615656356,2.4873274615656356,1.0,7.0,0,0,0,0.16752383647430283,0.09961981655856834
rsrp,2,2,0.16666666666666666,0.14285714285714285,682.9171269070894,0.0,682.9171269070894,0.3271752444265129,0.3271752444265129,2.922450754611543,2.922450754611543,1.0,7.0,0,0,0,0.17209256313809043,0.1374470828755569
rsrp,3,3,0.11904761904761904,0.14285714285714285,676.5281148091193,0.0,676.5281148091193,0.33346983762648347,0.33346983762648347,2.897839511445005,2.897839511445005,1.0,7.0,0,0,0,0.16842468001410657,0.12085224625745253
rsrp,4,4,0.14285714285714285,0.19047619047619047,697.9285344535284,0.0,697.9285344535284,0.31238568034135133,0.31238568034135133,2.963987346094242,2.963987346094242,1.0,7.0,0,0,0,0.2481127553606774,0.17643775182734647
rsrp,5,5,0.30952380952380953,0.2619047619047619,703.571233387739,0.0,703.571233387739,0.3068263710465626,0.3068263710465626,1.7866374524707973,1.7866374524707973,1.0,7.0,0,0,0,0.23517598311314578,0.19109411269542584
rsrp,6,6,0.09523809523809523,0.11904761904761904,688.1826212378661,0.0,688.1826212378661,0.3219875652828905,0.3219875652828905,2.8227826922989006,2.8227826922989006,1.0,7.0,0,0,0,0.19212194111253078,0.1511236915269249
rsrp,7,7,0.21428571428571427,0.19047619047619047,688.5182049077516,0.0,688.5182049077516,0.3216569409775846,0.3216569409775846,1.7533959824936562,1.7533959824936562,1.0,7.0,0,0,0,0.2139438269062866,0.15199533742273144
rsrp,8,8,0.35714285714285715,0.30952380952380953,686.7134402100783,0.0,686.7134402100783,0.32343503427578496,0.32343503427578496,1.7241674406996081,1.7241674406996081,1.0,7.0,0,0,0,0.17514325774838296,0.14730763690929413
rsrp,9,9,0.23809523809523808,0.21428571428571427,669.408388348683,0.0,669.408388348683,0.3404843464544995,0.3404843464544995,2.748014010591245,2.748014010591245,1.0,7.0,0,0,0,0.1420514487280966,0.10235945025632001
rsrp,10,10,0.30952380952380953,0.2619047619047619,680.5284646389196,0.0,680.5284646389196,0.3295286062670743,0.3295286062670743,1.7228261159247036,1.7228261159247036,1.0,7.0,0,0,0,0.1708329977772009,0.131242765295895
