policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,270.26805637459347,0.7337260528329129,0.0,1.0,1.9166666666666667,0.5867501353453113
ml_gcn,0.19722222222222222,317.07608989156597,0.6876097636536295,0.17794216074997551,1.0,2.25,0.6875246735416208
rsrp,0.3083333333333333,732.2505501426521,0.2785708865589635,1.7349984953787059,1.0,6.916666666666667,0.4075992089665436
sinr,0.3083333333333333,732.2505501426521,0.2785708865589635,1.7349984953787059,1.0,6.916666666666667,0.4075992089665436
load_aware,0.3083333333333333,744.2828833705225,0.2667163710635246,1.779035831608046,1.0,7.0,0.41213713889584563
