policy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,energy_gap_with_switching_vs_oracle
flat_mlp_search,0.8988095238095238,199.37015832665284,68.54166666666667,267.9118249933195,0.8035761986929528,0.736047463060769,-0.0002557195127419395,0.3538595337412916,1.0,1.2916666666666667,1.9583333333333333,1.0,0.9583333333333334,0.5881023374411719,-0.011020495571657676
oracle,1.0,199.43891356985705,71.45833333333333,270.89724690319036,0.8035084595370866,0.7331061606865119,0.0,0.3650488185839785,1.0,1.2916666666666667,2.0416666666666665,1.0416666666666667,1.0,0.586556648219743,0.0
agg_gcn_search,0.8998015873015873,199.65366055300896,71.45833333333333,271.1119938863423,0.803296886154671,0.7328945873040963,0.0008305014099159146,0.3658793199938944,1.0,1.2916666666666667,2.0416666666666665,1.0416666666666667,1.0,0.5901474013319518,0.0007927248637882377
attn_ml_gcn_search,0.8849206349206349,199.69731179781138,71.45833333333333,271.1556451311447,0.8032538800021563,0.7328515811515816,0.0009947651583379774,0.36604358374231655,1.0,1.2916666666666667,2.0416666666666665,1.0416666666666667,1.0,0.591916274055548,0.0009538606645444188
ml_gcn_search,0.8849206349206349,199.69731179781138,71.45833333333333,271.1556451311447,0.8032538800021563,0.7328515811515816,0.0009947651583379774,0.36604358374231655,1.0,1.2916666666666667,2.0416666666666665,1.0416666666666667,1.0,0.591916274055548,0.0009538606645444188
flat_mlp_pruned,0.5466269841269841,212.16052955577996,36.458333333333336,248.6188628891133,0.7909748477282955,0.7550553074984104,0.06575035853716384,0.25246413072494384,1.0,1.4166666666666667,1.0416666666666667,0.5416666666666666,0.5,0.5756988005016309,-0.08223924114680506
flat_mlp_stable_search,0.5704365079365079,214.21378738160374,30.625,244.83878738160374,0.7889519336141836,0.75877951982108,0.08010196469753633,0.2388775837822433,1.0,1.4583333333333333,0.875,0.4583333333333333,0.4166666666666667,0.5501887269835362,-0.09619315005773776
attn_ml_gcn_stable_search,0.5555555555555556,214.4938966504926,30.625,245.11889665049253,0.7886759638911403,0.7585035500980369,0.08226034470407564,0.2410359637887826,1.0,1.4583333333333333,0.875,0.4583333333333333,0.4166666666666667,0.5533196147173712,-0.09515914446303013
ml_gcn_stable_search,0.5555555555555556,214.4938966504926,30.625,245.11889665049253,0.7886759638911403,0.7585035500980369,0.08226034470407564,0.2410359637887826,1.0,1.4583333333333333,0.875,0.4583333333333333,0.4166666666666667,0.5533196147173712,-0.09515914446303013
agg_gcn_stable_search,0.5565476190476191,214.56443445977868,30.625,245.18943445977868,0.7886064685125334,0.7584340547194298,0.08187400402746416,0.2406496231121711,1.0,1.4583333333333333,0.875,0.4583333333333333,0.4166666666666667,0.5545146541331554,-0.09489875861528706
agg_gcn_pruned,0.4871031746031746,215.19728719347668,48.125,263.3222871934767,0.787982968282289,0.7405691751788407,0.08183596835108595,0.32540623414718167,1.0,1.4583333333333333,1.375,0.7083333333333334,0.6666666666666666,0.5501207170848421,-0.02796248317879986
flat_mlp_stable,0.4672619047619047,216.66384885486187,39.375,256.0388488548619,0.7865380799459488,0.747744976497673,0.09008777737605071,0.2859728209405132,1.0,1.4583333333333333,1.125,0.5833333333333334,0.5416666666666666,0.5729195065042999,-0.054848833711618944
attn_ml_gcn_pruned,0.4880952380952381,217.62493705446494,33.541666666666664,251.16660372113162,0.7855911950202316,0.7525452180087373,0.09513675032882336,0.26797428031345305,1.0,1.4583333333333333,0.9583333333333334,0.5,0.4583333333333333,0.5807757599913552,-0.07283441750557847
ml_gcn_pruned,0.4880952380952381,217.62493705446494,33.541666666666664,251.16660372113162,0.7855911950202316,0.7525452180087373,0.09513675032882336,0.26797428031345305,1.0,1.4583333333333333,0.9583333333333334,0.5,0.4583333333333333,0.5807757599913552,-0.07283441750557847
