policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,389.823953252175,0.6159369918697783,0.0,1.0,2.6,0.8735154231412388
attn_ml_gcn,0.5666666666666667,465.77920017755997,0.541104236278266,0.23577910194944032,1.0,3.2666666666666666,0.8289534909019192
ml_gcn,0.5666666666666667,465.77920017755997,0.541104236278266,0.23577910194944032,1.0,3.2666666666666666,0.8289534909019192
agg_gcn,0.4706666666666666,498.5948222713233,0.5087735741169228,0.31447874117928254,1.0,3.533333333333333,0.8251948606033962
flat_mlp,0.47600000000000003,505.76709928545046,0.5017072913443837,0.33265927660958355,1.0,3.6,0.8273718886721738
rsrp,0.396,844.7614250160336,0.167722733974351,1.2696518344491572,1.0,7.0,0.6794675711065743
sinr,0.396,844.7614250160336,0.167722733974351,1.2696518344491572,1.0,7.0,0.6794675711065743
load_aware,0.39466666666666667,851.8119812381082,0.16077637316442547,1.2897317704465427,1.0,7.0,0.6740448081576046
