policy,graph_id,hour,raw_assignment_accuracy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,mean_active_load
rsrp,0,0,0.2619047619047619,0.2619047619047619,709.0390234113224,0.0,709.0390234113224,0.30143938580165275,0.30143938580165275,1.799486512869828,1.799486512869828,1.0,7.0,0,0,0,0.27280639555089237,0.2052961647047333
rsrp,1,1,0.07142857142857142,0.09523809523809523,676.5867746387729,0.0,676.5867746387729,0.3334120446908641,0.3334120446908641,2.762205287367731,2.762205287367731,1.0,7.0,0,0,0,0.17865376191018542,0.12100460945135787
rsrp,2,2,0.16666666666666666,0.14285714285714285,667.6192735643616,0.0,667.6192735643616,0.3422470211188556,0.3422470211188556,2.75792176050996,2.75792176050996,1.0,7.0,0,0,0,0.14922848901434696,0.09771239886847138
rsrp,3,3,0.30952380952380953,0.2619047619047619,674.6313419399254,0.0,674.6313419399254,0.33533857936953165,0.33533857936953165,1.7030089811982025,1.7030089811982025,1.0,7.0,0,0,0,0.15790721983932068,0.11592556348032576
rsrp,4,4,0.16666666666666666,0.16666666666666666,678.0052242753042,0.0,678.0052242753042,0.33201455736423235,0.33201455736423235,2.7019474398407852,2.7019474398407852,1.0,7.0,0,0,0,0.15447834264608856,0.12468889422156929
rsrp,5,5,0.07142857142857142,0.09523809523809523,672.5123159691525,0.0,672.5123159691525,0.33742628968556404,0.33742628968556404,2.9864010620473627,2.9864010620473627,1.0,7.0,0,0,0,0.15108277738778952,0.11042159991987668
rsrp,6,6,0.16666666666666666,0.16666666666666666,673.985800578145,0.0,673.985800578145,0.3359745807111872,0.3359745807111872,2.8336806356754596,2.8336806356754596,1.0,7.0,0,0,0,0.15753607399009434,0.11424883267050659
rsrp,7,7,0.09523809523809523,0.16666666666666666,710.8770337820113,0.0,710.8770337820113,0.2996285381458017,0.2996285381458017,3.1805931315161913,3.1805931315161913,1.0,7.0,0,0,0,0.2708720327845589,0.21007021761561379
rsrp,8,8,0.2857142857142857,0.30952380952380953,697.3324102638865,0.0,697.3324102638865,0.31297299481390495,0.31297299481390495,1.746741280763765,1.746741280763765,1.0,7.0,0,0,0,0.23933443442270705,0.17488937730879625
rsrp,9,9,0.40476190476190477,0.40476190476190477,688.178835862429,0.0,688.178835862429,0.32199129471681875,0.32199129471681875,1.663163984656599,1.663163984656599,1.0,7.0,0,0,0,0.21272890620106794,0.15111385938293206
