policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,256.50427466682214,0.7472864288996827,0.0,1.0,1.8,0.560519266231129
attn_ml_gcn,0.31466666666666665,303.6545797291987,0.7008329263751737,0.21732055415040694,1.0,2.2,0.5808934017251133
ml_gcn,0.3333333333333333,304.1356902964836,0.7003589258162725,0.21904785446046812,1.0,2.2,0.5848389127855095
agg_gcn,0.24533333333333335,305.020004064295,0.6994876807248325,0.22517816881629354,1.0,2.2,0.5887263889118706
flat_mlp,0.29733333333333334,310.33557127363895,0.6942506686959222,0.23453370174220795,1.0,2.2,0.6344391046368651
rsrp,0.28,732.2795095817019,0.2785423550919194,1.937263849206625,1.0,7.0,0.3410280392138118
sinr,0.28,732.2795095817019,0.2785423550919194,1.937263849206625,1.0,7.0,0.3410280392138118
load_aware,0.2706666666666667,742.5878316682462,0.26838637274064414,1.978338551479235,1.0,7.0,0.3403882418633011
