policy,graph_id,hour,raw_assignment_accuracy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,mean_active_load
sinr,4,4,0.58,0.6,985.6628337260958,0.0,985.6628337260958,0.028903612092516497,0.028903612092516497,1.1380224411206223,1.1380224411206223,0.72,7.0,0,0,0,1.1121827407516234,0.9237995681197291
sinr,5,5,0.52,0.5,800.7551357773923,0.0,800.7551357773923,0.2110786839631603,0.2110786839631603,0.9276083282910926,0.9276083282910926,1.0,7.0,0,0,0,0.5441987348649218,0.4435198331880318
sinr,6,6,0.44,0.4,794.6405920257205,0.0,794.6405920257205,0.21710286499929016,0.21710286499929016,1.621193025280503,1.621193025280503,1.0,7.0,0,0,0,0.4805596756542262,0.42763790136550794
sinr,7,7,0.5,0.42,859.0649676733078,0.0,859.0649676733078,0.153630573720879,0.153630573720879,0.9310259884577519,0.9310259884577519,1.0,7.0,0,0,0,0.6687020838420211,0.5949739420085921
sinr,8,8,0.26,0.3,896.354764285997,0.0,896.354764285997,0.11689185784630836,0.11689185784630836,1.7631116730236192,1.7631116730236192,1.0,7.0,0,0,0,0.8755022185502103,0.6918305565870052
sinr,9,9,0.54,0.48,869.080232213974,0.0,869.080232213974,0.14376331801578915,0.14376331801578915,1.043444948657561,1.043444948657561,1.0,7.0,0,0,0,0.70622470431825,0.620987616140192
sinr,10,10,0.6,0.58,896.6504046208893,0.0,896.6504046208893,0.11660058658040466,0.11660058658040466,0.5594282301908887,0.5594282301908887,1.0,7.0,0,0,0,0.7468517376920341,0.6925984535607511
sinr,11,11,0.48,0.48,841.0274728511536,0.0,841.0274728511536,0.17140150458014428,0.17140150458014428,0.9363471198228287,0.9363471198228287,1.0,7.0,0,0,0,0.6373943331241327,0.5481233061068922
sinr,12,12,0.46,0.5,803.7362381293326,0.0,803.7362381293326,0.20814163731100235,0.20814163731100235,0.9143035477606986,0.9143035477606986,1.0,7.0,0,0,0,0.5070171344676926,0.45126295618008466
sinr,13,13,0.36,0.38,811.7207006473349,0.0,811.7207006473349,0.20027517177602477,0.20027517177602477,1.7755597929746891,1.7755597929746891,1.0,7.0,0,0,0,0.5676441503082373,0.4720018198632076
