policy,graph_id,hour,raw_assignment_accuracy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,mean_active_load
rsrp,0,0,0.42,0.44,867.4770204230906,0.0,867.4770204230906,0.1453428370215856,0.1453428370215856,0.9928221328250423,0.9928221328250423,1.0,7.0,0,0,0,0.7238789059366177,0.6168234296703652
rsrp,1,1,0.3,0.28,752.6596883919055,0.0,752.6596883919055,0.2584633611902408,0.2584633611902408,1.471733429133526,1.471733429133526,1.0,7.0,0,0,0,0.5064989422569582,0.3185965932257284
rsrp,2,2,0.5,0.42,852.3416924211595,0.0,852.3416924211595,0.16025449022545868,0.16025449022545868,0.993958269133685,0.993958269133685,1.0,7.0,0,0,0,0.7744491516668992,0.5775108894056091
rsrp,3,3,0.36,0.34,806.9921679205199,0.0,806.9921679205199,0.20493382470884736,0.20493382470884736,1.5528888285563558,1.5528888285563558,1.0,7.0,0,0,0,0.5389693194039845,0.45971991667667517
rsrp,4,4,0.22,0.26,837.2103123630548,0.0,837.2103123630548,0.1751622538295027,0.1751622538295027,1.7175750353887103,1.7175750353887103,1.0,7.0,0,0,0,0.6125422625465119,0.5382086035404018
rsrp,5,5,0.44,0.38,869.4668430866543,0.0,869.4668430866543,0.14338242060428147,0.14338242060428147,0.9518326287667175,0.9518326287667175,1.0,7.0,0,0,0,0.6867090534853134,0.6219918002250759
rsrp,6,6,0.44,0.4,822.4721153507139,0.0,822.4721153507139,0.18968264497466608,0.18968264497466608,0.9183934279535284,0.9183934279535284,1.0,7.0,0,0,0,0.584688081091719,0.49992757233951657
rsrp,7,7,0.42,0.38,767.306274436597,0.0,767.306274436597,0.24403322715606202,0.24403322715606202,1.6242517850236586,1.6242517850236586,1.0,7.0,0,0,0,0.4055611594129099,0.35663967386129114
rsrp,8,8,0.36,0.32,787.5635733059494,0.0,787.5635733059494,0.22407529723551786,0.22407529723551786,1.563912692876104,1.563912692876104,1.0,7.0,0,0,0,0.4402909323899892,0.40925603456090764
rsrp,9,9,0.34,0.32,836.641936747092,0.0,836.641936747092,0.17572222980582067,0.17572222980582067,1.6627123979877496,1.6627123979877496,1.0,7.0,0,0,0,0.6342110336703703,0.5367323032392001
rsrp,10,10,0.36,0.34,792.4810088670658,0.0,792.4810088670658,0.21923053313589572,0.21923053313589572,1.7126025614413358,1.7126025614413358,1.0,7.0,0,0,0,0.47222314904384194,0.4220285944599113
rsrp,11,11,0.42,0.42,770.0532400719785,0.0,770.0532400719785,0.24132685707194235,0.24132685707194235,1.5833857047157383,1.5833857047157383,1.0,7.0,0,0,0,0.4593321141178568,0.36377464953760663
