policy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,energy_gap_with_switching_vs_oracle,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load
agg_gcn,0.05347855229487381,25.575544454633643,14.098093842785982,30.117030025915493,0.025197580743481378,0.029671950764448753,0.02309109846939154,0.036707594869111765,0.04649684255263136,0.0,0.19642640691448113,0.4028026812224565,0.191847740553689,0.21186998109427607,0.020979741754667634
agg_gcn_pruned,0.06428659787752551,28.273584149195848,3.6147844564602556,26.05322178349348,0.027855747930242224,0.025668198801471403,0.03026063743970821,0.03322037647238239,0.02728370138058338,0.0,0.20682789409984761,0.1032795558988645,0.0437797517885457,0.06687467549246293,0.02524505279866668
attn_ml_gcn,0.08239073572516106,30.03883470220211,16.133148242739924,30.320138973633693,0.029594911036652315,0.029872058102102108,0.04237937299732511,0.05861920934690935,0.04352916709472951,0.0,0.24630604269214887,0.46094709264971223,0.2435843454192681,0.21991159840060995,0.021873588101495246
attn_ml_gcn_pruned,0.09330975892751578,25.65658719739397,12.18175434364398,28.051418709297895,0.025277425810240353,0.027636865723446216,0.026561949535128145,0.041438721910173684,0.040180984943891176,0.0,0.19184774055368908,0.3480501241041136,0.170293863659264,0.1811230398252954,0.021193831366522253
flat_mlp,0.05213827768540117,29.72150628105302,11.609652353872521,25.183847687236568,0.029282272198081775,0.024811672598262603,0.026305356485865312,0.039993103538429636,0.03831589080774522,0.0,0.24289915602982246,0.33170435296778633,0.17989194287435747,0.15420044674960504,0.012186994279816548
flat_mlp_pruned,0.04062853403431851,25.702911170983647,8.57519841040298,27.590819502386818,0.02532306519308734,0.027183073401366352,0.016343981180605892,0.020660637172848696,0.036025697788390244,0.0,0.20027758514399732,0.24500566886865655,0.1264911064067352,0.12349089035228472,0.022576011852578216
greedy_sleep,0.07387827826905552,26.382998363142068,10.469167694818063,26.81097641220578,0.025993101835607945,0.02641475508591703,0.024281603545364044,0.04010045190337528,0.04731419400662296,0.0,0.19972202905260328,0.29911907699480195,0.15420044674960504,0.14804278660801637,0.0280948559722736
load_aware,0.022536143808952264,13.170260886199376,0.0,13.170260886199376,0.012975626488866396,0.012975626488866396,0.07909071947320008,0.07909071947320008,0.05838288845156233,0.004998888765404689,0.0,0.0,0.0,0.0,0.041516704564257025
load_sleep,0.07387827826905552,26.382998363142068,10.469167694818063,26.81097641220578,0.025993101835607945,0.02641475508591703,0.024281603545364044,0.04010045190337528,0.04731419400662296,0.0,0.19972202905260328,0.29911907699480195,0.15420044674960504,0.14804278660801637,0.0280948559722736
ml_gcn,0.07765228765321583,30.472233721646077,16.46199326394657,30.332202631829094,0.030021905144478903,0.02988394347963454,0.044622126889381795,0.061212532469651075,0.04422504769831975,0.0,0.25055493963954834,0.4703426646841877,0.24966644414765343,0.22360679774997902,0.02229846515616262
ml_gcn_pruned,0.10444690304434859,24.497496933776933,9.542449021783318,25.343890287343303,0.02413546495938613,0.024969350036791387,0.025490049973098144,0.03502383349187946,0.03555501880887909,0.0,0.182954153334168,0.2726414006223803,0.1363207003111902,0.14033689623347254,0.02223650100559558
oracle,0.0,20.07308386482787,10.757716868472706,20.55778591187768,0.019776437305249108,0.020253976267859783,0.0,0.03954551197251794,1.529939442946828e-16,0.0,0.1449137674618944,0.30736333909922015,0.15465014279549388,0.15491933384829665,0.023929424770345428
rsrp,0.02147582620322466,12.125786113336211,0.0,12.125786113336211,0.011946587303779515,0.011946587303779515,0.07909998842040171,0.07909998842040171,0.057541474374199805,0.005440588203494176,0.0,0.0,0.0,0.0,0.03962545664814593
rsrp_sleep,0.08500490181944413,38.86731841253234,9.32603881613196,43.524462939159164,0.038292924544366835,0.042881244275033654,0.05396391477904179,0.06325243629309901,0.06597235566982056,0.004467164151400235,0.3192438984016243,0.26645825188948447,0.12572014777097404,0.14424131015612535,0.026342159799216284
sinr,0.02147582620322466,12.125786113336211,0.0,12.125786113336211,0.011946587303779515,0.011946587303779515,0.07909998842040171,0.07909998842040171,0.057541474374199805,0.005440588203494176,0.0,0.0,0.0,0.0,0.03962545664814593
sinr_sleep,0.08500490181944413,38.86731841253234,9.32603881613196,43.524462939159164,0.038292924544366835,0.042881244275033654,0.05396391477904179,0.06325243629309901,0.06597235566982056,0.004467164151400235,0.3192438984016243,0.26645825188948447,0.12572014777097404,0.14424131015612535,0.026342159799216284
