policy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,energy_gap_with_switching_vs_oracle,seed
sinr_sleep,0.513,519.7472316537816,124.25,643.9972316537816,0.48793376191745663,0.36551996881400833,0.2488683966847714,0.5749011924232826,0.9890000000000001,3.8,3.55,1.75,1.8,0.8094688203087564,0.2484157085274895,11
rsrp,0.42000000000000004,841.2231882592783,0.0,841.2231882592783,0.17120868151795232,0.17120868151795232,1.142724912717531,1.142724912717531,0.9890000000000001,7.0,0.0,0.0,0.0,0.6849229176073419,0.6307465171916378,11
sinr,0.42000000000000004,841.2231882592783,0.0,841.2231882592783,0.17120868151795232,0.17120868151795232,1.142724912717531,1.142724912717531,0.9890000000000001,7.0,0.0,0.0,0.0,0.6849229176073419,0.6307465171916378,11
oracle,1.0,347.5144584264529,117.25,464.7644584264529,0.6576212232251695,0.5421039818458592,0.0,0.351345274386712,1.0,2.35,3.35,1.65,1.7,0.7910137967079779,2.446117289315197e-16,13
greedy_sleep,0.653,371.620264823644,108.5,480.120264823644,0.6338716602722719,0.526975108548134,0.06651345142152902,0.39054406361050475,1.0,2.55,3.1,1.5,1.6,0.7937637427820111,0.03303997566677358,13
load_sleep,0.653,371.620264823644,108.5,480.120264823644,0.6338716602722719,0.526975108548134,0.06651345142152902,0.39054406361050475,1.0,2.55,3.1,1.5,1.6,0.7937637427820111,0.03303997566677358,13
agg_gcn_pruned,0.43600000000000005,379.2694035659676,113.75,493.0194035659676,0.6263355629891945,0.5142665974719531,0.09490019633994064,0.43784517024610914,1.0,2.6,3.25,1.6,1.65,0.8045598331143591,0.060794117594915105,13
flat_mlp_pruned,0.44299999999999995,381.90385643148795,94.5,476.403856431488,0.6237400429246425,0.5306365946487803,0.1029948980327133,0.3948788447697969,1.0,2.6,2.7,1.35,1.35,0.8256468018852974,0.02504364908720125,13
rsrp_sleep,0.613,391.06296036799574,110.25,501.31296036799574,0.6147162952039451,0.5060956055487726,0.12743800652529655,0.4697391067829463,1.0,2.75,3.15,1.55,1.6,0.7558306807371229,0.07863876266546878,13
sinr_sleep,0.613,391.06296036799574,110.25,501.31296036799574,0.6147162952039451,0.5060956055487726,0.12743800652529655,0.4697391067829463,1.0,2.75,3.15,1.55,1.6,0.7558306807371229,0.07863876266546878,13
ml_gcn_pruned,0.284,391.5403384457058,91.0,482.54033844570574,0.6142459719746741,0.524590799560881,0.1319063097048082,0.40284318553081694,1.0,2.65,2.6,1.3,1.3,0.8465064117978505,0.03824707267727943,13
attn_ml_gcn_pruned,0.307,391.7543768620889,94.5,486.254376862089,0.6140350966875971,0.520931648411735,0.13224236536431253,0.4148761979759178,1.0,2.65,2.7,1.35,1.35,0.8489026399269136,0.04623829995175262,13
agg_gcn,0.35300000000000004,434.02430481759154,98.0,532.0243048175915,0.572389847470353,0.47583812333242215,0.25202615261105377,0.5415896680466504,1.0,3.0,2.8,1.4,1.4,0.84571903326036,0.1447181366209877,13
flat_mlp,0.389,437.22363735447453,108.5,545.7236373544745,0.5692377957098773,0.46234124398573934,0.26765083317190586,0.5936204103948912,1.0,3.05,3.1,1.55,1.55,0.8268309598195538,0.17419399754044051,13
ml_gcn,0.27,449.77906671860626,108.5,558.2790667186063,0.5568679145629495,0.44997136283881156,0.32048050215526713,0.6477548306824573,1.0,3.15,3.1,1.6,1.5,0.8212807090688953,0.20120860491089337,13
attn_ml_gcn,0.251,451.4884128392843,105.0,556.4884128392844,0.5551838297149908,0.45173555385292186,0.32470608279905006,0.6407613465298775,1.0,3.15,3.0,1.55,1.45,0.8319392018516385,0.19735578474175977,13
rsrp,0.36100000000000004,810.0269791766448,0.0,810.0269791766448,0.20194386288015287,0.20194386288015287,1.3838561878335838,1.3838561878335838,1.0,7.0,0.0,0.0,0.0,0.5600870175053241,0.7428763419628579,13
sinr,0.36100000000000004,810.0269791766448,0.0,810.0269791766448,0.20194386288015287,0.20194386288015287,1.3838561878335838,1.3838561878335838,1.0,7.0,0.0,0.0,0.0,0.5600870175053241,0.7428763419628579,13
load_aware,0.35700000000000004,816.1014091654368,0.0,816.1014091654368,0.19595920279267307,0.19595920279267307,1.4021071472755926,1.4021071472755926,1.0,7.0,0.0,0.0,0.0,0.5610660485379674,0.755946252707234,13
oracle,1.0,374.1557727876485,99.75,473.9057727876485,0.6313736228693119,0.5330977608003462,0.0,0.272525852544151,1.0,2.55,2.85,1.45,1.4,0.8105197550854711,0.0,17
attn_ml_gcn_pruned,0.6559999999999999,393.9695626940171,98.0,491.9695626940171,0.6118526475921013,0.5153009234541703,0.06072586221650593,0.32369897976243917,1.0,2.65,2.8,1.4,1.4,0.869003327359286,0.03811683871270914,17
ml_gcn_pruned,0.6559999999999999,393.9695626940171,98.0,491.9695626940171,0.6118526475921013,0.5153009234541703,0.06072586221650593,0.32369897976243917,1.0,2.65,2.8,1.4,1.4,0.869003327359286,0.03811683871270914,17
greedy_sleep,0.633,399.73630503233466,133.0,532.7363050323346,0.6061711280469609,0.47513664528834026,0.07621851308788927,0.4339871255216833,1.0,2.75,3.8,1.9,1.9,0.8178895371712231,0.12413972486266239,17
load_sleep,0.633,399.73630503233466,133.0,532.7363050323346,0.6061711280469609,0.47513664528834026,0.07621851308788927,0.4339871255216833,1.0,2.75,3.8,1.9,1.9,0.8178895371712231,0.12413972486266239,17
agg_gcn_pruned,0.5900000000000001,400.62776654124326,108.5,509.12776654124326,0.6052928408460657,0.4983962891219278,0.074765132206856,0.3634434972815069,1.0,2.7,3.1,1.55,1.55,0.8642100632221263,0.07432277844266164,17
flat_mlp_pruned,0.592,408.14711981042853,98.0,506.1471198104285,0.5978846110242084,0.5013328868862773,0.10046445701078484,0.3655715078298752,1.0,2.8,2.8,1.4,1.4,0.8249522593317193,0.06803324389388041,17
attn_ml_gcn,0.575,457.04016336419045,89.25,546.2901633641904,0.5497141247643443,0.4617830902815857,0.24586763251833968,0.49070124434268625,1.0,3.25,2.55,1.3,1.25,0.8010075637348079,0.15274004819725315,17
ml_gcn,0.575,457.04016336419045,89.25,546.2901633641904,0.5497141247643443,0.4617830902815857,0.24586763251833968,0.49070124434268625,1.0,3.25,2.55,1.3,1.25,0.8010075637348079,0.15274004819725315,17
flat_mlp,0.522,463.52566772940315,115.5,579.0256677294033,0.5433244652912284,0.4295313618429525,0.25709120827185794,0.568283904700489,1.0,3.25,3.3,1.65,1.65,0.8241167059758352,0.22181602541663428,17
agg_gcn,0.52,463.59440849359714,112.0,575.5944084935971,0.5432567404003968,0.43291191281419,0.2597049705962553,0.5581102690552247,1.0,3.3,3.2,1.6,1.6,0.7973288511094463,0.21457564255397682,17
rsrp_sleep,0.61,424.6994609684667,112.0,536.6994609684667,0.5815768857453529,0.47123205815914615,0.130833992846985,0.4339435948349992,0.99,3.0,3.2,1.6,1.6,0.7920279428723209,0.13250247578004354,17
sinr_sleep,0.61,424.6994609684667,112.0,536.6994609684667,0.5815768857453529,0.47123205815914615,0.130833992846985,0.4339435948349992,0.99,3.0,3.2,1.6,1.6,0.7920279428723209,0.13250247578004354,17
rsrp,0.41,834.1130050689804,0.0,834.1130050689804,0.178213788109379,0.178213788109379,1.2921093266216912,1.2921093266216912,0.99,7.0,0.0,0.0,0.0,0.6562583820972296,0.7600819676926291,17
sinr,0.41,834.1130050689804,0.0,834.1130050689804,0.178213788109379,0.178213788109379,1.2921093266216912,1.2921093266216912,0.99,7.0,0.0,0.0,0.0,0.6562583820972296,0.7600819676926291,17
load_aware,0.402,847.5880745442655,0.0,847.5880745442655,0.16493785759185658,0.16493785759185658,1.3248324915529994,1.3248324915529994,0.99,7.0,0.0,0.0,0.0,0.6612193040906028,0.7885160367608764,17
oracle,1.0,386.0661082859218,106.75,492.8161082859218,0.6196393021813578,0.5144668883882544,0.0,0.271137059473721,1.0,2.6,3.05,1.55,1.5,0.850596034365459,1.1534407643150462e-16,19
greedy_sleep,0.724,399.65326464684307,106.75,506.4032646468431,0.6062529412346374,0.5010805274415339,0.039592213083174864,0.3253903761534881,1.0,2.7,3.05,1.55,1.5,0.8563667346074875,0.02757043881576692,19
load_sleep,0.724,399.65326464684307,106.75,506.4032646468431,0.6062529412346374,0.5010805274415339,0.039592213083174864,0.3253903761534881,1.0,2.7,3.05,1.55,1.5,0.8563667346074875,0.02757043881576692,19
ml_gcn_pruned,0.47700000000000004,422.0263948890994,94.5,516.5263948890994,0.5842104483851238,0.4911070001092617,0.09742350095090606,0.342683162175577,1.0,2.85,2.7,1.4,1.3,0.8816681423019876,0.048111833612024306,19
attn_ml_gcn_pruned,0.516,422.36314649656276,80.5,502.86314649656276,0.5838786734024012,0.504568328574815,0.09821313617233288,0.3107861322714764,1.0,2.85,2.3,1.2,1.1,0.8802385306891403,0.020386992311566085,19
agg_gcn_pruned,0.548,427.4205473273387,105.0,532.4205473273387,0.5788960124853807,0.47544773662331175,0.11223099320835402,0.39110639093407484,1.0,2.9,3.0,1.55,1.45,0.8701501928781766,0.08036352378814543,19
rsrp_sleep,0.724,429.3633782670146,108.5,537.8633782670145,0.5769818933329907,0.47008534160885274,0.09665112671396783,0.388659204242228,1.0,3.0,3.1,1.6,1.5,0.8234794491218548,0.09140786841926281,19
sinr_sleep,0.724,429.3633782670146,108.5,537.8633782670145,0.5769818933329907,0.47008534160885274,0.09665112671396783,0.388659204242228,1.0,3.0,3.1,1.6,1.5,0.8234794491218548,0.09140786841926281,19
flat_mlp_pruned,0.506,437.528218586991,98.0,535.528218586991,0.5689377156778413,0.47238599153991034,0.1392198499533647,0.39748556501343124,1.0,3.0,2.8,1.45,1.35,0.8597466287387243,0.08666946875910263,19
ml_gcn,0.44000000000000006,486.2638248460515,82.25,568.5138248460514,0.5209223400531513,0.4398878572945305,0.26970902509368977,0.4828962366485158,1.0,3.4,2.35,1.2,1.15,0.8478639479390144,0.15360235854184257,19
agg_gcn,0.483,487.2468351553125,85.75,572.9968351553125,0.5199538569898399,0.4354710983691502,0.27784774800235573,0.49410252174096064,1.0,3.45,2.45,1.25,1.2,0.8222117565832419,0.1626990788679163,19
