policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,268.27250765834344,0.735692110681435,0.0,1.0,1.8333333333333333,0.6625407599123392
ml_gcn,0.34722222222222227,309.3560347160362,0.6952157293438067,0.1749408552155293,1.0,2.1666666666666665,0.6597454192247344
rsrp,0.2833333333333333,744.0329645785472,0.2669625964743378,1.8471528200675094,1.0,6.916666666666667,0.4781572504541454
sinr,0.2833333333333333,744.0329645785472,0.2669625964743378,1.8471528200675094,1.0,6.916666666666667,0.4781572504541454
load_aware,0.28055555555555556,762.2412643321369,0.2490233848944463,1.9143571715103873,1.0,7.0,0.47011519681897135
