policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,359.5135722571322,0.6457994361998698,0.0,1.0,2.4,0.833268421452743
ml_gcn,0.488,430.97157189037154,0.5753974661178606,0.20103951994656125,1.0,2.95,0.8578325223307219
attn_ml_gcn,0.48,435.05977533948663,0.571369679468486,0.2106612844778594,1.0,3.0,0.8497850646084659
flat_mlp,0.501,448.2213531875059,0.5584026076970385,0.2490349341471859,1.0,3.1,0.8536393377286091
agg_gcn,0.502,457.072917239077,0.5496818549368699,0.27053855452275377,1.0,3.2,0.8469033605556122
rsrp,0.372,829.311864245757,0.1829439761125546,1.3626806028677318,1.0,7.0,0.642974723245311
sinr,0.372,829.311864245757,0.1829439761125546,1.3626806028677318,1.0,7.0,0.642974723245311
load_aware,0.37,836.7196236061275,0.17564569102844588,1.3839998657801926,1.0,7.0,0.6352168578462848
