policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,366.6578337402057,0.6387607549357579,0.0,1.0,2.5,0.7976061778719113
ml_gcn,0.5366666666666666,470.74758848038914,0.5362092724331141,0.3168438632649752,1.0,3.4166666666666665,0.7638756998935482
rsrp,0.41333333333333333,832.7206941830024,0.17958552297241148,1.329445612950684,0.9816666666666666,7.0,0.6641203154901812
sinr,0.41333333333333333,832.7206941830024,0.17958552297241148,1.329445612950684,0.9816666666666666,7.0,0.6641203154901812
load_aware,0.4033333333333333,844.900915227784,0.1675853051943015,1.3592689462558507,0.9816666666666666,7.0,0.6629163337635832
