policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,394.9866096976442,0.6108506308397594,0.0,1.0,2.65,0.8651706111132341
greedy_sleep,0.58,410.4289888233708,0.5956364642134278,0.04816806982602609,1.0,2.75,0.886634511292139
load_sleep,0.58,410.4289888233708,0.5956364642134278,0.04816806982602609,1.0,2.75,0.886634511292139
rsrp_sleep,0.625,420.2537081152451,0.5859569378174925,0.06210422572101615,1.0,2.9,0.8388949002638093
sinr_sleep,0.625,420.2537081152451,0.5859569378174925,0.06210422572101615,1.0,2.9,0.8388949002638093
flat_mlp_pruned,0.534,441.6702040124248,0.56485694185968,0.11663364222322954,1.0,3.0,0.8903430458211019
agg_gcn_pruned,0.44699999999999995,453.04108710039156,0.5536541013789245,0.15309226040519394,1.0,3.1,0.8830381871477074
ml_gcn_pruned,0.457,453.0646565811329,0.5536308802156326,0.15525146865857403,1.0,3.1,0.8801404662204249
attn_ml_gcn_pruned,0.449,453.17158235373216,0.5535255346268648,0.15548823719436394,1.0,3.1,0.8787364681400802
flat_mlp,0.433,506.0280293198454,0.5014502174188715,0.3052452799637787,1.0,3.6,0.8360991982130249
agg_gcn,0.395,516.2064270473545,0.4914222393622124,0.3269590516838028,1.0,3.65,0.8438007688379541
attn_ml_gcn,0.45899999999999996,529.2957659735873,0.4785263389422784,0.3667201808612787,1.0,3.8,0.8258216614529523
ml_gcn,0.45899999999999996,529.2957659735873,0.4785263389422784,0.3667201808612787,1.0,3.8,0.8258216614529523
rsrp,0.414,846.065554433812,0.16643787740511123,1.2338652060804338,1.0,7.0,0.6805601994396826
sinr,0.414,846.065554433812,0.16643787740511123,1.2338652060804338,1.0,7.0,0.6805601994396826
load_aware,0.41100000000000003,852.1646173227882,0.16042894845045497,1.24958310850279,1.0,7.0,0.683017187318
