x,y,oracle,ml_gcn,rsrp,demand
-407.9922029592103,-297.5179208032795,5,5,5,1.9632254806620515
-107.62379553925769,622.3322306923229,2,2,3,1.0390228333121634
-275.32651884661755,-261.9619544633778,5,5,5,2.9731063239051942
-172.50992327373916,336.9158492132081,2,2,3,0.9429021384868104
-127.17626648693917,276.20751886121724,2,2,3,2.059404167069119
-407.1150882818277,355.4307594268367,2,2,4,1.5811283071791276
-178.18156166170135,603.2809601716365,5,2,0,1.3464366901911942
-550.3044494590099,232.91514468855215,5,5,4,1.7849033078833303
514.0372474513781,-217.0400064885953,5,1,1,0.7964732865444051
21.379923817746533,519.875179995048,2,2,3,1.4118077785171634
-396.9544002552154,252.13788754753472,5,1,3,2.605419457766812
-323.36934116566414,196.60325670232874,2,2,3,2.6787499085690065
191.54928559991703,-494.56323178246714,5,5,6,1.6571420470566125
272.7639947587458,351.80275691068,2,2,2,1.04194838770885
178.21586726740446,116.76760103899234,2,2,2,5.420247202493217
-16.21547751003299,518.2707172667469,2,2,2,3.0491528323035677
-301.5864735797501,484.0388245684965,2,2,3,0.5
481.18656631250434,181.22200453570883,2,1,1,3.0128916838942787
199.0149344171847,-176.64929262937525,2,2,6,2.5476972569458574
-178.85608329249098,504.92660598742833,2,2,2,0.8055140919214667
158.91269006753572,-626.7464457328244,5,5,5,1.229515338847651
-46.27718571358637,579.6259061497932,2,2,2,1.3797908340485314
-350.69128494196747,-464.7142351280735,5,5,5,1.0252094106301288
226.98337302372445,70.5397092366067,2,1,1,6.0
53.51853668271522,-174.38783171491173,2,1,0,2.058468022691602
-398.25132336651836,-456.59957193675524,5,5,5,2.8871057962927558
233.49915345390843,-335.97123075801966,2,1,6,1.686530398432384
231.49515901435117,-591.710424332095,5,5,5,0.8765529973319273
559.9429901007122,45.968083065423315,2,2,2,2.5935089426582634
-254.72087510226692,59.18990412477267,5,5,5,2.1429160270644108
7.41882600857537,-258.5598216692546,5,5,5,3.5286516056877835
-16.83935989991698,-42.96375162606594,5,5,0,4.183773095269106
138.60632026752643,-350.6654360490125,5,5,6,3.3511369258990062
-252.70732064856927,48.49719290823343,2,2,4,3.0031046826543886
496.2082712794204,133.14866584830298,2,1,2,0.9342563664614868
286.6792068840455,131.26814348873265,2,2,2,1.1825859435492503
-421.12177216679225,-376.26315025832395,5,5,4,3.6630212453978297
156.93084320078717,411.282809980279,2,2,2,1.3234169882931908
116.88761307933974,636.9769102973842,2,1,3,1.1107660757259443
-298.53386452644315,-43.76128563521559,2,2,4,1.2097053426794535
-66.32271895352977,634.7303799871381,2,2,2,1.8730991112097635
-306.4072258714167,415.46894982824614,5,5,3,0.5606124529946553
-304.5878443547458,-354.21914600896685,5,5,5,1.978135327921093
199.74532542664474,474.8105268951054,2,2,2,1.4159926879315041
-495.5423805567578,-74.21480032077082,5,5,4,1.6757389482083374
366.62484182772386,-112.11927227683627,5,1,1,0.8339587237438928
320.6513596038917,-445.9411714284367,5,5,6,1.3473416303088335
460.66655841712804,-29.29975425962704,2,1,1,2.2213318123150323
-171.6450325982853,529.7110626679382,2,2,3,4.345079850952395
54.89680889875528,-529.9627531880419,5,5,5,0.7727642848990706
