,association,interference,load,temporal
association,0.0,0.498542284290964,0.6172832031870715,0.9799051272913522
interference,0.5860615911409278,0.0,0.7876201322846743,0.8771166491913824
load,0.5252687432585614,0.5701283626486134,0.0,0.7212015746907235
temporal,0.9590376500391443,0.7302435356894319,0.8294900760824905,0.0
