1.073760398288903933e-01,9.633916885459466780e-04,2.569944253107380328e-03,7.110941234008611063e-03,1.032068012873797389e-02,6.205375016023144674e+00,1.843332988204818626e-02
9.390511673754113955e-03,4.522538923644529017e-04,2.725296524695145980e-02,2.331649492261257706e+01,1.195717351426924457e-03,1.617660280127687362e-05,3.397823356552482753e-03
3.919789517497657139e-02,2.121236701609895484e-03,1.814367540157558003e-04,1.950543183634038968e-04,2.204408191465297151e-02,1.449696138995500760e+01,2.463008123617391534e-03
2.235468878769164428e-04,1.428746716881368983e-05,5.574401093507994412e-04,8.973583809095787274e+02,2.654342839531688598e-04,2.391347821072035089e-05,2.000421808567638980e-05
1.243693770828100602e-04,9.360654225835207242e-04,2.326493311582724863e-02,3.673785218186896628e+01,1.829773792439133660e-03,2.308122574585028662e-04,4.967676475019687727e-04
2.466196082150732827e-01,4.213757442616604767e-04,2.712208645467866462e-03,1.945845969424859212e-01,1.423633716236607283e+00,1.821481356577742171e-03,4.357341063215613985e-02
1.032045529486240731e+00,3.820320542519647141e-03,5.546218536861458048e-02,3.663784795037554054e-01,1.143480032085030518e-01,4.482909481496150095e-02,2.237222552440568633e-03
5.192322670049377177e-03,3.267119662140546832e-02,1.470612159584300249e-03,3.077141892864203032e-01,1.296990774849026362e+00,1.434405557937708520e-01,2.652094373484012793e-02
1.417301261129431944e-01,9.854541792812262502e-01,1.520947324680053600e-03,2.161791966270640904e-03,1.155288556756292519e-04,1.316652161909476759e-01,3.364302069394658479e-01
2.231932708979432745e-01,4.387718232839921129e-02,5.196966119108835658e-01,5.590684086969502919e-01,1.019573061325689152e-02,3.244619998305093775e-03,5.156974534223384560e-02
3.783664023373729335e-04,8.152763773034419400e-04,5.485187555315933520e-04,2.621523470495572994e+01,1.639946461581566137e-02,7.874889421313680709e-04,1.781517390210793361e-02
1.172762587352908081e-04,2.067053409155888435e-04,1.760698307154661205e-02,1.414782208588192525e+01,4.888868475097081501e-02,9.582722020862377479e-04,4.903471580047203369e-04
9.398860337325953829e-02,6.488837329228290540e-02,1.802400748635576500e-03,1.274372219455133497e-03,7.116731117662834609e-03,4.086633783989707808e-02,3.720686264047831759e+00
1.623035662144688357e-03,6.239639551819917834e-03,6.376252611268648707e+01,6.103114139906978125e-03,2.695420175161149169e-04,1.005367558864926848e-05,1.182341295824946084e-03
1.579125509475173550e-01,5.857665017307762956e-02,2.058409410427906927e+00,6.675950436773184227e-02,5.995249761361734486e-02,2.629056984724544802e-03,1.075639381370479403e-02
1.039502314317586190e-01,2.520195406719194509e-01,5.705574044312937687e-01,4.347250286338322223e-01,3.065386297592747017e-04,1.395150064169848811e-02,1.543743858420441872e-02
1.612938603966572459e-02,1.244864280068390611e-03,4.191843266655064654e-02,2.581797068135500250e+00,2.705411685109423425e-01,1.858749892138380024e-04,2.927794135733484838e-03
9.973177995861016998e-02,5.591625691242280149e-01,5.231299130368074479e-01,6.825580381304199862e-02,3.500978007104128820e-02,6.111080673473479746e-02,4.225994323291026866e-02
7.721894878427351672e-02,2.209523401740800391e-02,4.360894820715978393e-02,2.919314501680152717e-04,2.599964247910061584e-03,3.913220043473354713e-04,6.181188787848048705e+00
1.910479813576256144e-03,5.476801237187177707e-01,1.283491077466709207e+00,6.131499704907119111e-03,6.468527255651324026e-02,2.582706618397247189e-03,4.063162770642653361e-03
7.050606387975197169e-03,1.124390146706802374e-02,1.509960445262556775e-04,9.634669554815849732e-04,1.499924874777944445e-03,1.173836048386616682e+01,4.362607880707456559e-02
1.195063163364213981e-03,2.810290899991094681e-03,6.844469595956496732e+00,9.766126401741745400e-02,1.236825608987080806e-02,2.027372232571630559e-02,9.399345428318118796e-05
1.664804871081578376e-03,6.909381153921241505e-05,2.487059712189678556e-03,2.968470031619597355e-02,3.199200347053666182e-01,2.390233624372728904e+00,1.707407470119928078e-02
