policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load,qos_mbps,num_ues,shadowing_db
ml_gcn,0.2305555555555555,318.10709486543493,0.686593995206468,0.2948321842494542,1.0,2.1666666666666665,0.7382022954618549,0.5,30,2.0
ml_gcn,0.2305555555555555,318.10709486543493,0.686593995206468,0.2948321842494542,1.0,2.1666666666666665,0.7382022954618549,2.0,30,2.0
ml_gcn,0.2305555555555555,318.10709486543493,0.686593995206468,0.2948321842494542,1.0,2.1666666666666665,0.7382022954618549,4.0,30,2.0
ml_gcn,0.2722222222222222,321.26387032629515,0.6834838715997092,0.3238486737224955,1.0,2.25,0.6948826833557783,6.0,30,2.0
ml_gcn,0.4566666666666667,464.515232729983,0.5423495244039577,0.2780851099568863,1.0,3.25,0.8240744971505735,0.5,50,2.0
ml_gcn,0.4566666666666667,464.515232729983,0.5423495244039577,0.2780851099568863,1.0,3.25,0.8240744971505735,2.0,50,2.0
ml_gcn,0.4566666666666667,462.7212178708407,0.5441170267282357,0.2744688657514964,1.0,3.25,0.8185011988293821,4.0,50,2.0
ml_gcn,0.4616666666666666,461.9389250316235,0.5448877585895334,0.2745628570736924,1.0,3.25,0.822519045394967,6.0,50,2.0
ml_gcn,0.6583333333333333,812.4022311770877,0.1996037131260218,0.2530365082524067,0.9511904761904764,5.916666666666667,0.9103431383081984,0.5,70,2.0
ml_gcn,0.6678571428571428,804.7467887470092,0.2071460209389072,0.2424593390024259,0.9511904761904764,5.833333333333333,0.9156709389889788,2.0,70,2.0
ml_gcn,0.6476190476190476,823.072116443835,0.1890915108927734,0.2671040692465272,0.9345238095238096,6.0,0.9202852261610668,4.0,70,2.0
ml_gcn,0.6416666666666666,779.2153218834072,0.2323001754843278,0.2095257153890634,0.9738095238095238,5.666666666666667,0.946893599140563,6.0,70,2.0
ml_gcn,0.637962962962963,858.9768213505314,0.1537174173886389,0.4607071947721174,0.7453703703703703,6.0,0.9954924446882308,0.5,90,2.0
ml_gcn,0.637962962962963,858.9768213505314,0.1537174173886389,0.4607071947721174,0.7453703703703703,6.0,0.9954924446882308,2.0,90,2.0
ml_gcn,0.6425925925925926,856.2171842026936,0.1564362717214842,0.4573430903176874,0.7851851851851852,6.0,0.9872105778243392,4.0,90,2.0
ml_gcn,0.6759259259259259,849.229345162311,0.1633208422046196,0.4027435087495759,0.8027777777777777,6.0,0.979721770049814,6.0,90,2.0
