layer,leave_one_out_gain,single_layer_gain,attention
association,0.011080309124883891,0.002092707090020296,0.2379133034239076
interference,0.009064389954896335,0.008538054349011226,0.2583070691826274
load,0.021789675371509998,0.002485984583895484,0.2547302995021951
temporal,0.010218911319149093,0.002130320365392402,0.2490493278912698
