policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,381.20899302852115,0.6244246374103241,0.0,1.0,2.6,0.8115667339387712
agg_gcn,0.4746666666666667,470.35007531441045,0.5366009110202853,0.2559196228437252,1.0,3.3333333333333335,0.8177442097980933
flat_mlp,0.49599999999999994,472.815058963414,0.5341723557010699,0.25429053095492565,1.0,3.3333333333333335,0.8234405952447013
attn_ml_gcn,0.5559999999999999,491.82433035915545,0.515444009498369,0.3169143924003349,1.0,3.533333333333333,0.7970937365789983
ml_gcn,0.5559999999999999,491.82433035915545,0.515444009498369,0.3169143924003349,1.0,3.533333333333333,0.7970937365789983
rsrp,0.4186666666666667,840.5253777674885,0.1718961795394201,1.2619423524343132,0.9866666666666667,7.0,0.6733008369803757
sinr,0.4186666666666667,840.5253777674885,0.1718961795394201,1.2619423524343132,0.9866666666666667,7.0,0.6733008369803757
load_aware,0.412,855.1756633364924,0.1574624006537021,1.2957661209871045,0.9866666666666667,7.0,0.6807764837266022
