policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,671.0825925144837,0.33883488422218355,0.0,0.8703703703703703,4.583333333333333,1.073032615722131
load_aware,0.6546296296296297,952.5842267781023,0.06149337263241151,0.5479086985151517,0.8703703703703703,7.0,0.9093248099427832
rsrp,0.6592592592592593,945.4925159462483,0.06848027985591297,0.5386073398202967,0.8685185185185186,7.0,0.9005802000449887
sinr,0.6592592592592593,945.4925159462483,0.06848027985591297,0.5386073398202967,0.8685185185185186,7.0,0.9005802000449887
ml_gcn,0.7768518518518519,796.1681066414249,0.21559792449120707,0.28211865548141063,0.8435185185185184,5.583333333333333,0.973619624081895
