policy,graph_id,hour,raw_assignment_accuracy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load,mean_active_load
rsrp,0,0,0.72,0.56,1059.1169932988075,-0.043465018028381805,0.3670856751281756,0.32,7.0,1.3730714295853523,1.161252106315591
rsrp,1,1,0.66,0.78,1039.3322199206855,-0.023972630463729532,0.19494117889551008,0.22,7.0,1.1451308684726285,1.0632005712225596
rsrp,2,2,0.8,0.76,1077.8867501608306,-0.06195738932101538,0.1847165974299652,0.16,7.0,1.3205208636529355,1.1759816931392777
rsrp,3,3,0.36,0.3,1110.3387826217404,-0.09392983509531073,2.1058427485922806,0.0,7.0,1.6134232840166787,1.4857339155794063
rsrp,4,4,0.46,0.38,822.1470668027622,0.19000288984949537,1.5805224740764323,1.0,7.0,0.5867304050891453,0.49908329039678506
rsrp,5,5,0.74,0.72,1021.9940866430857,-0.006890725756734646,0.3359950511923453,0.42,7.0,1.2053805084667686,1.0181664588132098
rsrp,6,6,0.38,0.34,1037.0457429708547,-0.02171994381364994,1.9008272530653278,0.26,7.0,1.2700996343962658,1.060133046396492
rsrp,7,7,0.78,0.86,1056.7880341859372,-0.041170477030480046,0.17999176374569933,0.28,7.0,1.4161616807402024,1.1443595827832644
rsrp,8,8,0.82,0.86,1012.1400051851981,0.0028177288815782204,0.2123006338662829,0.48,7.0,1.1230061632050639,0.9925714420394758
rsrp,9,9,0.64,0.62,1065.12855329061,-0.049387737232128026,0.658872812961209,0.1,7.0,2.060929993715625,1.4247294711914797
rsrp,10,10,0.74,0.68,992.4197580732313,0.022246543770215503,0.3387889561775291,0.44,7.0,1.1456941309797202,0.9413500209694315
rsrp,11,11,0.1,0.1,1111.25,-0.09482758620689655,4.3748488512696495,0.0,7.0,1.689654541680901,1.6331651538136474
rsrp,12,12,0.28,0.24,1104.112525104326,-0.08779559123578926,2.0884266436484644,0.0,7.0,1.5100044684969343,1.3560417695399896
rsrp,13,13,0.8,0.78,1006.2876905558478,0.008583556102613002,0.1374262763221946,0.52,7.0,1.1168258424211024,0.9773706248203838
rsrp,14,14,0.24,0.26,1108.018073925843,-0.09164342258703749,2.099351255736624,0.0,7.0,1.7531580126797508,1.4799986030212418
sinr,0,0,0.72,0.56,1059.1169932988075,-0.043465018028381805,0.3670856751281756,0.32,7.0,1.3730714295853523,1.161252106315591
sinr,1,1,0.66,0.78,1039.3322199206855,-0.023972630463729532,0.19494117889551008,0.22,7.0,1.1451308684726285,1.0632005712225596
sinr,2,2,0.8,0.76,1077.8867501608306,-0.06195738932101538,0.1847165974299652,0.16,7.0,1.3205208636529355,1.1759816931392777
sinr,3,3,0.36,0.3,1110.3387826217404,-0.09392983509531073,2.1058427485922806,0.0,7.0,1.6134232840166787,1.4857339155794063
sinr,4,4,0.46,0.38,822.1470668027622,0.19000288984949537,1.5805224740764323,1.0,7.0,0.5867304050891453,0.49908329039678506
sinr,5,5,0.74,0.72,1021.9940866430857,-0.006890725756734646,0.3359950511923453,0.42,7.0,1.2053805084667686,1.0181664588132098
sinr,6,6,0.38,0.34,1037.0457429708547,-0.02171994381364994,1.9008272530653278,0.26,7.0,1.2700996343962658,1.060133046396492
sinr,7,7,0.78,0.86,1056.7880341859372,-0.041170477030480046,0.17999176374569933,0.28,7.0,1.4161616807402024,1.1443595827832644
sinr,8,8,0.82,0.86,1012.1400051851981,0.0028177288815782204,0.2123006338662829,0.48,7.0,1.1230061632050639,0.9925714420394758
sinr,9,9,0.64,0.62,1065.12855329061,-0.049387737232128026,0.658872812961209,0.1,7.0,2.060929993715625,1.4247294711914797
sinr,10,10,0.74,0.68,992.4197580732313,0.022246543770215503,0.3387889561775291,0.44,7.0,1.1456941309797202,0.9413500209694315
sinr,11,11,0.1,0.1,1111.25,-0.09482758620689655,4.3748488512696495,0.0,7.0,1.689654541680901,1.6331651538136474
