policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,268.27250765834344,0.735692110681435,0.0,1.0,1.8333333333333333,0.6625407599123392
ml_gcn,0.29444444444444445,305.09898366987926,0.6994098683055378,0.1540337510236269,1.0,2.1666666666666665,0.6457334506865832
rsrp,0.2888888888888889,742.5088020058291,0.26846423447701573,1.8404891624862438,1.0,6.916666666666667,0.48024203925878334
sinr,0.2888888888888889,742.5088020058291,0.26846423447701573,1.8404891624862438,1.0,6.916666666666667,0.48024203925878334
load_aware,0.2888888888888889,751.9408504774584,0.25917157588427736,1.8742224340748315,1.0,7.0,0.48721082287727313
