policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load,qos_mbps,num_ues,shadowing_db
oracle,1.0,252.661465323108,0.751072447957529,0.0,1.0,1.6666666666666667,0.6964097506774207,0.5,30,2.0
ml_gcn,0.23055555555555554,318.10709486543493,0.686593995206468,0.2948321842494542,1.0,2.1666666666666665,0.7382022954618549,0.5,30,2.0
rsrp,0.25277777777777777,742.0314465394734,0.26893453542909024,2.0804240575336075,1.0,6.916666666666667,0.4542901984547299,0.5,30,2.0
sinr,0.25277777777777777,742.0314465394734,0.26893453542909024,2.0804240575336075,1.0,6.916666666666667,0.4542901984547299,0.5,30,2.0
load_aware,0.2611111111111111,754.3117198514634,0.2568357439887059,2.1285164384330915,1.0,7.0,0.46661186210507344,0.5,30,2.0
oracle,1.0,252.661465323108,0.751072447957529,0.0,1.0,1.6666666666666667,0.6964097506774207,2.0,30,2.0
ml_gcn,0.23055555555555554,318.10709486543493,0.686593995206468,0.2948321842494542,1.0,2.1666666666666665,0.7382022954618549,2.0,30,2.0
rsrp,0.25277777777777777,742.0314465394734,0.26893453542909024,2.0804240575336075,1.0,6.916666666666667,0.4542901984547299,2.0,30,2.0
sinr,0.25277777777777777,742.0314465394734,0.26893453542909024,2.0804240575336075,1.0,6.916666666666667,0.4542901984547299,2.0,30,2.0
load_aware,0.2611111111111111,754.3117198514634,0.2568357439887059,2.1285164384330915,1.0,7.0,0.46661186210507344,2.0,30,2.0
oracle,1.0,252.661465323108,0.751072447957529,0.0,1.0,1.6666666666666667,0.6964097506774207,4.0,30,2.0
ml_gcn,0.23055555555555554,318.10709486543493,0.686593995206468,0.2948321842494542,1.0,2.1666666666666665,0.7382022954618549,4.0,30,2.0
rsrp,0.25555555555555554,740.3901574664173,0.27055156899860355,2.0731084677514393,1.0,6.916666666666667,0.45535439272000056,4.0,30,2.0
sinr,0.25555555555555554,740.3901574664173,0.27055156899860355,2.0731084677514393,1.0,6.916666666666667,0.45535439272000056,4.0,30,2.0
load_aware,0.2638888888888889,752.4534683341925,0.25866653366089415,2.120438567514348,1.0,7.0,0.4708365668729843,4.0,30,2.0
oracle,1.0,252.5429161784923,0.7511892451443426,0.0,1.0,1.6666666666666667,0.698394077185157,6.0,30,2.0
ml_gcn,0.2722222222222222,321.26387032629515,0.6834838715997092,0.32384867372249554,1.0,2.25,0.6948826833557783,6.0,30,2.0
rsrp,0.26944444444444443,738.2490046639115,0.2726610791488557,2.065671196939766,1.0,6.916666666666667,0.45844732875379846,6.0,30,2.0
sinr,0.26944444444444443,738.2490046639115,0.2726610791488557,2.065671196939766,1.0,6.916666666666667,0.45844732875379846,6.0,30,2.0
load_aware,0.26944444444444443,746.5716011926752,0.2644614766574629,2.096816080639572,1.0,7.0,0.4670788430575228,6.0,30,2.0
oracle,1.0,376.64403819065546,0.6289221298614232,0.0,1.0,2.5,0.8672941453799221,0.5,50,2.0
ml_gcn,0.4566666666666667,464.515232729983,0.5423495244039577,0.27808510995688634,1.0,3.25,0.8240744971505735,0.5,50,2.0
rsrp,0.385,839.469317820579,0.17293663268908474,1.347945867179769,1.0,7.0,0.6656205239918395,0.5,50,2.0
sinr,0.385,839.469317820579,0.17293663268908474,1.347945867179769,1.0,7.0,0.6656205239918395,0.5,50,2.0
load_aware,0.38333333333333336,847.5341694668788,0.16499096604248395,1.3713559664814945,1.0,7.0,0.6588420703056274,0.5,50,2.0
oracle,1.0,376.64403819065546,0.6289221298614232,0.0,1.0,2.5,0.8672941453799221,2.0,50,2.0
