policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,516.1539154799245,0.4914739748966261,0.0,1.0,3.5833333333333335,0.8826702060785608
ml_gcn,0.5511904761904761,608.3264744190951,0.4006635720008915,0.19620351342086742,1.0,4.333333333333333,0.8734011027261701
rsrp,0.5190476190476191,884.997951875621,0.12808083559052122,0.7509674940197403,1.0,7.0,0.7382739477428104
sinr,0.5190476190476191,884.997951875621,0.12808083559052122,0.7509674940197403,1.0,7.0,0.7382739477428104
load_aware,0.5119047619047619,891.7090826329581,0.12146888410546003,0.7637355997475751,1.0,7.0,0.7449585781384801
