policy,graph_id,hour,raw_assignment_accuracy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,mean_active_load
rsrp,0,0,0.52,0.54,851.6256045574871,0.0,851.6256045574871,0.1609599955098649,0.1609599955098649,0.9292545675843523,0.9292545675843523,1.0,7.0,0,0,0,0.8159746860922311,0.5756509209285381
rsrp,1,1,0.48,0.46,820.9994407947952,0.0,820.9994407947952,0.19113355586719685,0.19113355586719685,1.0844834032764992,1.0844834032764992,1.0,7.0,0,0,0,0.6597200197430895,0.49610244362284456
rsrp,2,2,0.38,0.44,846.3913021035712,0.0,846.3913021035712,0.16611694374032393,0.16611694374032393,1.01100866529481,1.01100866529481,1.0,7.0,0,0,0,0.6905511224141321,0.5620553301391459
rsrp,3,3,0.36,0.34,799.0098845699649,0.0,799.0098845699649,0.21279814328082272,0.21279814328082272,1.4382427246042433,1.4382427246042433,1.0,7.0,0,0,0,0.5757193398018298,0.4389867131687401
rsrp,4,4,0.42,0.44,851.1703097246475,0.0,851.1703097246475,0.16140856184763794,0.16140856184763794,0.9241877165288749,0.9241877165288749,1.0,7.0,0,0,0,0.6481015101370976,0.5744683369471363
rsrp,5,5,0.36,0.3,798.1566666421453,0.0,798.1566666421453,0.21363875207670413,0.21363875207670413,1.4387807900934468,1.4387807900934468,1.0,7.0,0,0,0,0.5051871984160318,0.43677056270687065
rsrp,6,6,0.4,0.38,790.3220338840937,0.0,790.3220338840937,0.22135760208463676,0.22135760208463676,1.5502695647127278,1.5502695647127278,1.0,7.0,0,0,0,0.5532405355448731,0.41642086723141214
rsrp,7,7,0.3,0.3,784.7835446041507,0.0,784.7835446041507,0.22681424176930962,0.22681424176930962,1.4700441642880167,1.4700441642880167,1.0,7.0,0,0,0,0.5818120656195562,0.4020351807900021
rsrp,8,8,0.54,0.46,941.2372269473221,0.0,941.2372269473221,0.07267268281052006,0.07267268281052006,0.6473195697644881,0.6473195697644881,1.0,7.0,0,0,0,0.8987256723545379,0.8084083816813565
rsrp,9,9,0.52,0.42,919.5173102765082,0.0,919.5173102765082,0.09407161549112496,0.09407161549112496,1.0913272699658714,1.0913272699658714,1.0,7.0,0,0,0,0.9069913173172865,0.7519930137052163
rsrp,10,10,0.3,0.28,768.9892936079955,0.0,768.9892936079955,0.242375080189167,0.242375080189167,1.5468512355463502,1.5468512355463502,1.0,7.0,0,0,0,0.4513231734795159,0.3610111522285597
rsrp,11,11,0.6,0.56,834.5463082119629,0.0,834.5463082119629,0.17778688846112028,0.17778688846112028,0.9369176928742828,0.9369176928742828,1.0,7.0,0,0,0,0.7863133246471197,0.5312891122388647
rsrp,12,12,0.52,0.42,835.5828517952508,0.0,835.5828517952508,0.17676566325591053,0.17676566325591053,1.9119094152018683,1.9119094152018683,1.0,7.0,0,0,0,0.6075810275419793,0.5339814332344177
rsrp,13,13,0.3,0.3,762.9434544340896,0.0,762.9434544340896,0.24833157198611858,0.24833157198611858,1.4067263913038697,1.4067263913038697,1.0,7.0,0,0,0,0.47348239628581584,0.3453076738547781
rsrp,14,14,0.6,0.56,960.7398686389547,0.0,960.7398686389547,0.053458257498566794,0.053458257498566794,0.31886946424661644,0.31886946424661644,0.78,7.0,0,0,0,1.0102287664274445,0.8590645938674151
rsrp,15,15,0.5,0.44,850.1201244567873,0.0,850.1201244567873,0.16244322713617018,0.16244322713617018,0.9718206123467737,0.9718206123467737,1.0,7.0,0,0,0,0.6780149147565186,0.5717405830046421
rsrp,16,16,0.32,0.36,823.5262301448827,0.0,823.5262301448827,0.18864410823164268,0.18864410823164268,1.5805277543574048,1.5805277543574048,1.0,7.0,0,0,0,0.6059020316495499,0.5026655328438513
rsrp,17,17,0.54,0.58,874.7868810122627,0.0,874.7868810122627,0.1381410039288052,0.1381410039288052,0.5512830095929431,0.5512830095929431,1.0,7.0,0,0,0,0.8395101676850889,0.6358100805513317
