policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,376.64403819065546,0.6289221298614232,0.0,1.0,2.5,0.8672941453799221
ml_gcn,0.4566666666666667,464.515232729983,0.5423495244039577,0.27808510995688634,1.0,3.25,0.8240744971505735
rsrp,0.385,839.469317820579,0.17293663268908474,1.347945867179769,1.0,7.0,0.6656205239918395
sinr,0.385,839.469317820579,0.17293663268908474,1.347945867179769,1.0,7.0,0.6656205239918395
load_aware,0.38333333333333336,847.5341694668788,0.16499096604248395,1.3713559664814945,1.0,7.0,0.6588420703056274
