policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
agg_gcn,0.05347855229487381,25.575544454633643,0.025197580743481378,0.02309109846939154,0.0,0.19642640691448113,0.020979741754667634
agg_gcn_pruned,0.06428659787752551,28.273584149195848,0.027855747930242224,0.03026063743970821,0.0,0.20682789409984761,0.02524505279866668
attn_ml_gcn,0.08239073572516106,30.03883470220211,0.029594911036652315,0.04237937299732511,0.0,0.24630604269214887,0.021873588101495246
attn_ml_gcn_pruned,0.09330975892751578,25.65658719739397,0.025277425810240353,0.026561949535128145,0.0,0.19184774055368908,0.021193831366522253
flat_mlp,0.05213827768540117,29.72150628105302,0.029282272198081775,0.026305356485865312,0.0,0.24289915602982246,0.012186994279816548
flat_mlp_pruned,0.04062853403431851,25.702911170983647,0.02532306519308734,0.016343981180605892,0.0,0.20027758514399732,0.022576011852578216
greedy_sleep,0.07387827826905552,26.382998363142068,0.025993101835607945,0.024281603545364044,0.0,0.19972202905260328,0.0280948559722736
load_aware,0.022536143808952264,13.170260886199376,0.012975626488866396,0.07909071947320008,0.004998888765404689,0.0,0.041516704564257025
load_sleep,0.07387827826905552,26.382998363142068,0.025993101835607945,0.024281603545364044,0.0,0.19972202905260328,0.0280948559722736
ml_gcn,0.07765228765321583,30.472233721646077,0.030021905144478903,0.044622126889381795,0.0,0.25055493963954834,0.02229846515616262
ml_gcn_pruned,0.10444690304434859,24.497496933776933,0.02413546495938613,0.025490049973098144,0.0,0.182954153334168,0.02223650100559558
oracle,0.0,20.07308386482787,0.019776437305249108,0.0,0.0,0.1449137674618944,0.023929424770345428
rsrp,0.02147582620322466,12.125786113336211,0.011946587303779515,0.07909998842040171,0.005440588203494176,0.0,0.03962545664814593
rsrp_sleep,0.08500490181944413,38.86731841253234,0.038292924544366835,0.05396391477904179,0.004467164151400235,0.3192438984016243,0.026342159799216284
sinr,0.02147582620322466,12.125786113336211,0.011946587303779515,0.07909998842040171,0.005440588203494176,0.0,0.03962545664814593
sinr_sleep,0.08500490181944413,38.86731841253234,0.038292924544366835,0.05396391477904179,0.004467164151400235,0.3192438984016243,0.026342159799216284
