policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,572.3768477935581,0.43608192335610035,0.0,0.9702380952380952,3.9166666666666665,0.9577046510706236
ml_gcn,0.5988095238095238,703.9282388079358,0.3064746415685362,0.240117118869812,0.9654761904761905,5.0,0.9221388159511651
rsrp,0.5333333333333333,904.4309273799358,0.10893504691631932,0.6192134228334001,0.9654761904761905,7.0,0.8149791249757373
sinr,0.5333333333333333,904.4309273799358,0.10893504691631932,0.6192134228334001,0.9654761904761905,7.0,0.8149791249757373
load_aware,0.5297619047619048,917.5347620268243,0.09602486499820273,0.6411664852572795,0.9547619047619048,7.0,0.8269402456315568
